"","cluster_id","year","elev","sloped","near_bld","X","Y","fire_id","state","NA_L2KEY","NA_L1KEY","BB","UB","resp","bld_clust","area_clust","bld_den","near_clust","rdens","sw","tpi","nlcd2006","bld_disp","CONTAG","CONNECT","PLAND1","CONNECT1","PLAND3","CONNECT3"
"1",20000,2000,1,0,43.50755,1565490,430114,"FL-110-20000409","FL","15.4  EVERGLADES","15  TROPICAL WET FORESTS",0,8,0,8,10.05,0.8,109545,10.92,0.29693475,2,90,0.612333894,974.877,0,0.317,0,99.683,0
"2",20012,2001,41.8333333333333,0.599208583333333,73.03125,1396450,672513,"FL-FLS-14-129-20010222","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,12,0,12,20.54,0.58,644.56,27.21,-0.107320333,6,81,0.58977154,605.363,31.056,36.808,2.381,81.367,20
"3",20032,2003,1066.6,13.847944,59.210249,-1930120,1270760,"BLM-CACDD-AXS3-20031026","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,14.06,0.71,128.69,59.23,0.01314239,6,22,0.855913835,878.179,222.222,980.965,0,19.035,222.222
"4",20035,2003,151.785714285714,3.28646121428571,14.0558678571429,-1933360,1275920,"BLM-CACDD-AXS3-20031026","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,28,0,28,8.98,3.12,2769.75,42.42,-0.123098221,1,71,0.638392351,791.034,138.462,897.207,70,102.474,91.667
"5",20042,2004,10.1538461538462,0.444008076923077,24.5962384615385,826258,849590,"FL-FLS-2004-01-0274-20040313","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,13,0,13,9.85,1.32,45.2,78.84,0.1761642,1,22,0.562386114,565.237,25.255,198.173,23.355,790.439,222.222
"6",20047,2004,4.88888888888889,3.06458266666667,46.0040555555556,822891,853501,"UNK-302538-872439-040415","AL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,11.15,0.81,4399.27,63.28,-0.130882378,6,42,0.568413504,719.709,73.316,134.857,6.198,862.251,208.791
"7",20049,2004,14.5,1.120927,25.404475,884240,858486,"UNK-302514-864525-040415","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,12,0,12,8.44,1.42,1050.42,71.28,-0.074487058,6,22,0.595171157,649.204,34.255,168.966,32.278,827.867,333.333
"8",20054,2005,1.63636363636364,0.388150727272727,31.5901454545455,69265.3,668138,"UNK-290432-0951729-20051123","TX","9.5  TEXAS-LOUISIA0 COASTAL PLAIN","9  GREAT PLAINS",0,11,0,11,8.94,1.23,3112,56.89,0.264937345,3,71,0.585056587,800.571,34.343,40.677,34.343,959.323,0
"9",20059,2005,1.03333333333333,0.410794866666667,45.9204366666667,291845,748808,"LA-294752-93016-20050516","LA","9.5  TEXAS-LOUISIA0 COASTAL PLAIN","9  GREAT PLAINS",0,30,0,30,32.12,0.93,24474.9,85.95,0.110698467,3,95,0.694977782,985.886,333.333,0,0,998.184,0
"10",20061,2006,14.3076923076923,1.67245030769231,56.2122538461538,816944,859856,"AL-ALS-060304-2-20060303","AL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,13,0,13,14.76,0.88,1667.31,43.5,0.074413538,2,42,0.639858161,327.077,55.515,457.478,49.832,431.995,57.959
"11",20064,2006,7.63157894736842,1.16507789473684,20.5684094736842,818226,862034,"AL-ALS-060304-2-20060303","AL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,19,0,19,9.79,1.94,44.85,88.73,0.274734211,1,81,0.55197255,355.787,44.171,372.608,36.392,527.233,69.519
"12",20067,2006,21.2222222222222,4.07118666666667,56.0904666666667,817499,862359,"AL-ALS-060304-2-20060303","AL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,14.17,0.64,10.16,44.58,-0.101142333,6,82,0.643227131,327.518,41.602,396.039,33.894,477.164,63.415
"13",20081,2008,4,0,57.29413,1450070,464618,"FL-17-0189-20080529","FL","15.4  EVERGLADES","15  TROPICAL WET FORESTS",0,10,0,10,14.2,0.7,20.87,97.67,0.5349906,3,90,0.682819917,76.164,38.813,54.026,32.184,945.974,100
"14",20083,2008,4,0,59.3000090163934,1451110,464326,"FL-17-0189-20080529","FL","15.4  EVERGLADES","15  TROPICAL WET FORESTS",2,120,1,122,168.3,0.72,20.87,41.8,0.425154606,3,90,0.55861386,835.283,28.257,37.735,25.397,941.729,166.667
"15",20092,2009,684.25,1.38205675,24.9799,-413327,779262,"0SF-TX0484-174988-20090122","TX","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",0,12,0,12,9.86,1.22,2308.84,50.09,-0.323367583,1,52,0.487814757,908.152,333.333,966.261,666.667,33.381,0
"16",200032,2000,19.8888888888889,0.355793111111111,57.7718111111111,1455470,724820,"FL-249-20000830","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,14.18,0.63,4081.26,52.1,0.055673444,3,21,0.636492118,721.771,31.166,62.377,2.334,894.056,217.949
"17",200038,2000,16.125,1.88877575,30.556245,1373820,776297,"FS-0805-269-001216","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,7.86,1.02,7.87,49.47,-0.136994875,1,95,0.510311198,457.027,71.429,500.967,61.166,452.636,86.022
"18",200113,2001,39.2222222222222,0.156126111111111,52.6373111111111,1396920,676909,"FL-FLS-14-129-20010222","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,14.53,0.62,8.81,142.86,-0.153076644,2,81,0.502472686,654.258,5.692,0.9769,29.885,81.135,254.545
"19",200117,2001,39.1,1.849171,18.18376,1402490,691171,"FL-FLS-14-129-20010222","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,10,0,10,7.71,1.3,13402.4,89.49,-0.1337981,6,22,0.633235721,73.579,30.547,20.085,29.293,888.929,100
"20",200128,2001,12.7058823529412,0.345507,58.6276941176471,1376630,1040050,"GA-95-20010511","GA","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,17,0,17,23.02,0.74,1078.61,59.98,0.367037094,6,52,0.52151795,509.342,43.979,696.254,20,298.805,38.272
"21",200132,2001,820,1.9269313,39.07505,-1906640,1266160,"FWS-CASCR-1134-20011208","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,12.24,0.82,16.33,464.98,-0.2154616,6,71,0.615223117,775.659,8.114,888.338,52.381,94.826,5.977
"22",200141,2001,711.945945945946,2.79449335135135,58.8738437837838,-1908650,1267220,"FWS-CASCR-1134-20011208","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,37,0,37,56.75,0.65,12.82,140.95,0.045862724,1,21,0.569781339,684.791,90.268,864.766,294.872,132.173,63.492
"23",200142,2001,693.818181818182,2.23421090909091,44.6236727272727,-1909560,1267640,"FWS-CASCR-1134-20011208","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,11,0,11,16.96,0.65,90.03,344.01,0.198232455,1,71,0.577301076,694.479,102.041,869.126,32.967,127.103,58.468
"24",200146,2001,738.666666666667,3.99615066666667,55.6976466666667,-1906940,1268280,"FWS-CASCR-1134-20011208","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,15,0,15,22.19,0.68,41.21,46.38,0.1412112,1,71,0.57102621,653.989,96.875,844.671,282.051,151.675,69.519
"25",200152,2001,710.468085106383,4.21131521276596,21.9023170212766,-1908100,1269090,"FWS-CASCR-1134-20011208","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,47,0,47,24.63,1.91,48.91,167.96,0.149008678,1,22,0.643374334,667.898,13.354,856.284,377.778,140.045,9.058
"26",200159,2001,576.4,6.538304,75.31426,-1919040,1288370,"FWS-CASCR-1651-20010103","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,20.5,0.49,29.34,37.96,-0.3024929,1,71,0.466975991,594.604,146.597,894.058,100,105.942,142.105
"27",200171,2001,593.055555555556,10.071775,82.1121444444444,-1913890,1292170,"FWS-CASCR-1651-20010103","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,18,0,18,31.16,0.58,1008.05,55.91,0.041514694,1,52,0.603625669,440.189,54.397,824.249,147.368,175.751,45.635
"28",200182,2001,760.666666666667,8.75243857142857,29.7688866666667,-1910240,1294460,"FWS-CASCR-1651-20010103","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,21,0,21,15.75,1.33,100.22,98.54,0.059292117,1,22,0.569014802,402.674,67.913,785.561,216.667,214.439,55.892
"29",200185,2001,12.25,0.350207083333333,42.31625,1572890,1339910,"SC-222631787-20011107","SC","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,12,0,12,14.55,0.82,342.72,29.82,-0.2119115,3,71,0.611930984,306.232,46.123,403.778,42.523,463.149,88.319
"30",200237,2002,2198.4,4.66682,48.4661,-892051,1132960,"FS-0308-020-20020430","NM","13.1  UPPER GILA MOUNTAINS","13  TEMPERATE SIERRAS",0,10,0,10,13,0.77,135.55,285.17,0.0023517,1,71,0.56885892,926.729,75,980.325,100,15.311,0
"31",200244,2002,1518.1,8.555159,20.44185,-1370660,1161960,"FS-0305-088-020712","AZ","12.1  WESTERN SIERRA MADRE PIEDMONT","12  SOUTHERN SEMIARID HIGHLANDS",0,10,0,10,6.58,1.52,10421.4,72.91,0.20889696,6,52,0.515991852,0,0,100,0,0,0
"32",200252,2002,1318.8,18.59894,63.20001,-1893910,1316980,"CA-MVU-00000777-20020729","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,14.22,0.7,178.74,73.09,-0.1123504,6,52,0.625487853,665.521,207.547,849.032,272.727,148.004,166.667
"33",200254,2002,1295.125,6.7854625,42.7095875,-1894490,1317680,"CA-MVU-00000777-20020729","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,8,0,8,9.6,0.83,3.97,155.23,0.087588125,6,21,0.573524111,641.872,174.242,832.109,288.889,164.415,136.364
"34",200281,2002,1200.25,2.65479875,45.7681875,-1887130,1331220,"CA-MVU-00000777-20020729","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,8,0,8,12.12,0.66,21.5,336.57,0.09775625,1,71,0.582150224,657.961,142.857,926.199,0,73.801,142.857
"35",200295,2002,1162.11111111111,3.19098505555556,66.1001611111111,-1888510,1332090,"CA-MVU-00000777-20020729","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,18,0,18,29.38,0.61,84.26,130.43,-0.412983686,1,52,0.466988382,715.587,101.266,942.044,100,57.956,89.744
"36",200299,2002,1138.2,6.94037133333333,52.8883133333333,-1889410,1332330,"CA-MVU-00000777-20020729","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,15,0,15,24.6,0.61,0.32,159.79,0.06703456,1,52,0.558701528,762.848,90.909,953.733,0,46.267,90.909
"37",200324,2003,1006.8,7.678552,48.89053,-1904470,1292790,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,11.76,0.85,10.33,78.94,-0.08846485,1,52,0.719939482,729.873,217.054,891.349,357.143,96.143,142.857
"38",200331,2003,1032,10.8096523529412,56.7556352941176,-1903210,1292960,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",1,16,1,17,25.51,0.67,88.53,346.9,0.168993912,1,52,0.607700522,680.049,149.733,869.537,392.857,97.553,98.039
"39",200337,2003,235.384615384615,11.5500238461538,56.0270461538462,-1930030,1293280,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",1,12,1,13,21.54,0.6,38.5,40.52,0.131593154,6,21,0.610355602,282.356,33.847,453.081,2.968,546.919,95.238
"40",200338,2003,191.441176470588,7.99370102941177,33.8922990196078,-1925220,1293040,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",53,49,1,102,66.49,1.53,18.2,104.89,0.020034578,1,22,0.647734681,365.909,70.787,753.125,83.838,246.875,56.478
"41",200341,2003,332.818181818182,13.7651881818182,80.7642181818182,-1923440,1293740,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,11,0,11,21.14,0.52,1.11,69.1,-0.209262164,6,71,0.480396509,443.066,101.983,808.363,14,191.637,73.892
"42",200342,2003,1042.75,5.25428333333333,36.423375,-1903290,1293760,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,12,0,12,15.93,0.75,19.53,81.46,0.00680525,1,52,0.580414537,690.152,119.048,882.053,466.667,83.643,94.203
"43",200352,2003,532.5,9.82346,66.3431625,-1921580,1294130,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,8,0,8,13.05,0.61,29.6,105.77,0.31186775,6,22,0.493421863,324.669,73.246,728.591,73.129,271.409,73.563
"44",200358,2003,1071.92857142857,2.88755007142857,47.5820642857143,-1901600,1294530,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,14,0,14,15.66,0.89,32.95,60.53,-0.382716464,1,52,0.668164113,732.391,130.435,903.374,60,62.437,93.567
"45",200359,2003,1198.7,5.494443,69.80768,-1897910,1294390,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,10,0,10,15.74,0.64,79.77,69.21,-0.0905163,1,71,0.505088131,88.186,210.526,964.715,50,34.642,166.667
"46",200360,2003,685.555555555556,6.82156027777778,35.1838527777778,-1913460,1294510,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,36,0,36,26.34,1.37,114.46,119.71,-0.014769756,1,21,0.631332883,324.891,68.038,724.328,98.925,275.672,58.001
"47",200361,2003,747.083333333333,5.02719583333333,30.1392833333333,-1910260,1294590,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,12,0,12,9.47,1.27,152.25,199.71,0.169057454,1,22,0.57668134,382.708,65.851,773.918,216.667,226.082,54.511
"48",200365,2003,1088.25,10.9527008333333,43.5737041666667,-1901010,1294330,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,24,0,24,27.58,0.87,46.3,316.49,-0.038029458,1,52,0.653743671,75.592,103.175,913.975,466.667,54.925,73.593
"49",200367,2003,460.875,6.9671825,42.6016875,-1925550,1294710,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",5,3,1,8,9.76,0.82,39.75,97.91,0.348023325,6,22,0.622962851,542.051,93.915,738.978,116.402,240.943,71.429
"50",200374,2003,754.9,4.035706,33.145674,-1908800,1294880,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",1,9,1,10,9.4,1.06,80.39,127.9,-0.431031655,1,22,0.747499331,468.173,79.279,821.637,22.5,178.363,61.616
"51",200375,2003,513,6.82408875,91.5782,-1921070,1294810,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,8,0,8,15.45,0.52,30.42,36.29,0.000624325,6,21,0.444586886,270.809,78.393,681.987,82.828,318.013,70.076
"52",200378,2003,712,6.24688545454545,75.3530181818182,-1912090,1294860,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,11,0,11,18.98,0.58,51.42,203.12,-0.158116545,1,21,0.574476195,412.217,86.268,782.665,178.947,217.335,67.653
"53",200380,2003,327.755319148936,12.2613975531915,59.1629531914894,-1929330,1294600,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",10,84,1,94,120.09,0.78,38.5,56.98,0.06608074,1,22,0.56300534,493.242,26.017,474.721,2.198,504.801,64.171
"54",200382,2003,764.333333333333,5.52481666666667,27.35725,-1908500,1295200,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,24,0,24,14.18,1.69,80.39,86.58,0.04839465,1,21,0.511643368,521.295,84.523,85.253,21.978,14.747,69.512
"55",200384,2003,284.216292134831,8.30536636235955,33.0387606741573,-1923620,1294750,"CA-CNF-00000087-20031025","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",187,169,1,356,154.52,2.3,14.32,131.46,-0.065883526,1,21,0.591728097,586.652,50.773,749.918,62.409,249.247,40.727
"56",200410,2004,7.41025641025641,0.707952666666667,28.3033461538462,885993,858567,"UNK-302514-864525-040415","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,39,0,39,21.55,1.81,1133.71,59.06,-0.183419838,3,22,0.644541294,706.227,32.666,126.389,3.029,870.065,40
"57",200414,2004,4,0,40.3811,1370440,1087480,"UNK-315502-0812341-040510","GA","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,11.59,0.78,48.16,79.46,0.540302,3,52,0.719130672,434.937,59.055,555.345,66.327,422.007,6.006
"58",200421,2004,692.705882352941,7.08722764705882,23.9643623529412,-1900780,1263500,"BLM-CACDD-BE9K-20040913","CA","11.1  MEDITERRANEAN CALIFORNIA","11  MEDITERRANEAN CALIFORNIA",0,17,0,17,17.63,0.96,152.91,319.64,0.254165118,1,71,0.556955823,568.403,12.5,559.498,100,46.355,66.667
"59",200510,2005,1.5,0,59.903325,217689,748790,"FWS-3129784-20050117","LA","9.5  TEXAS-LOUISIA0 COASTAL PLAIN","9  GREAT PLAINS",3,9,1,12,20.42,0.59,969.78,86.16,0.347247417,3,71,0.514343764,811.553,333.333,27.986,333.333,920.924,666.667
"60",200521,2005,3.72727272727273,0.595883636363636,38.8546272727273,224008,794281,"0SF-LA00690505-2148-20051026","LA","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,11,0,11,15.22,0.72,88.6,41.6,-0.170389364,3,22,0.488069785,582.795,90.056,196.566,81.281,770.344,25
"61",200525,2005,2,0,18.1061675,580345,819303,"FWS-3140854-20050329","LA","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",1,23,1,24,13.6,1.77,130.87,86.74,0.354175721,3,95,0.705817536,487.058,86.253,179.584,77.295,820.416,205.128
"62",200526,2005,1.68421052631579,0.153417,37.1077947368421,579713,819945,"FWS-3140854-20050329","LA","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,19,0,19,18.93,1,130.87,62.34,0.393048274,3,95,0.670082743,66.124,68.388,187.647,63.861,811.248,181.818
"63",200533,2005,6,0.38607725,42.377935,699137,845336,"FWS-3220812-20050125","MS","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,16,0,16,15.94,1,41.83,34.85,0.231058431,3,52,0.684051525,476.678,54.976,534.109,54.067,454.813,60.256
"64",200538,2005,46.25,1.004105625,26.482545,288982,857141,"0SF-LA00690505-0384-20050312","LA","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,8.38,0.95,121.58,72.8,-0.41923825,6,81,0.618939024,393.601,82.664,561.354,75.862,324.069,93.333
"65",200546,2005,26.5,1.651298625,19.6723625,1075690,873031,"FL-302124-0844509-20050420","FL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,10.03,0.8,1409.73,46.29,-0.190979694,1,82,0.641290306,456.665,5.341,580.188,73.969,406.199,48.122
"66",200547,2005,10.4444444444444,0.741371111111111,56.4338666666667,1116140,874292,"FS-302055-0842017-20050428","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,12.98,0.69,377.71,121.91,0.004706511,1,42,0.611943233,625.082,62.921,826.115,236.364,153.978,48.718
"67",200549,2005,10.4615384615385,0.621614615384615,41.1270846153846,1117730,874641,"FS-302055-0842017-20050428","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,13,0,13,18.48,0.7,384.39,197.64,0.494927692,2,21,0.639060241,550.861,69.481,768.081,116.667,19.681,52.553
"68",200553,2005,11.2,0.4731566,54.85947,1119270,878041,"FS-302055-0842017-20050428","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,10,0,10,15.79,0.63,154.07,197.66,0.32583369,1,21,0.622658645,573.946,82.073,737.344,125.616,254.053,49.462
"69",200561,2005,59.8888888888889,2.212546,33.2034333333333,1286200,881803,"FS-301252-0823449-20050312","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,10.97,0.82,206.77,213.45,-0.242998778,6,52,0.679886577,455.865,45.313,486.078,46.131,48.727,44.767
"70",200565,2005,53.875,0.96993275,32.4322,311861,891555,"0SF-LA00690505-1663-20050923","LA","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,7.18,1.11,294.35,50.17,0.18334975,6,52,0.454597735,521.043,69.588,613.016,93.567,373.927,58.824
"71",200566,2005,43.3913043478261,0.85836952173913,33.4791304347826,1285880,895277,"FS-301815-0823404-20050405","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,23,0,23,24.39,0.94,3995.03,56.35,0.066159443,6,81,0.476970704,539.673,36.906,686.681,19.697,309.095,33.725
"72",200567,2005,40.1111111111111,0.189970555555556,82.9959111111111,1281690,897224,"FS-301956-0823610-20050208","FL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,9,0,9,17.5,0.51,1091.28,73.44,-0.212225844,3,52,0.44009012,493.285,41.787,691.074,163.158,286.471,33.894
"73",200594,2005,94.5,1.79802871428571,22.0098171428571,649031,920204,"FS-0807-130-20051112","MS","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,14,0,14,12.73,1.1,443,112.26,-0.133476743,6,52,0.597787955,21.501,57.892,58.492,6.087,41.508,55.272
"74",200611,2006,28.875,3.322147625,45.3770625,726723,871726,"AL-ALS-060314-1-20060314","AL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,11.41,0.7,5.76,35.21,-0.118293375,6,81,0.588849688,328.789,42.756,583.976,78.236,212.644,3.012
"75",200616,2006,19.875,3.244115,64.785125,758051,915620,"AL-ALS-060304-3-20060304","AL","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,13.47,0.59,686.78,171.76,0.231704375,6,52,0.568093197,469.159,50.256,494.321,108.374,469.958,4.878
"76",200623,2006,85.125,0.25591875,68.6305625,866532,921538,"AL-240-BWT-20060214","FL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,8,0,8,14.77,0.54,36.09,192.76,-0.292395875,6,82,0.521924232,447.403,45.855,711.722,152.174,177.112,34.035
"77",200624,2006,86.3636363636364,0.642500727272727,30.6345272727273,866496,922253,"AL-240-BWT-20060214","AL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,11,0,11,10.63,1.03,207.99,91.43,-0.209544818,6,82,0.579099856,485.624,48.175,744.172,164.502,157.946,36.435
"78",200634,2006,120,1.46462505,31.72414,1024710,1091030,"AL-397-MGM-20060327","AL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,20,0,20,15.29,1.31,460.22,213.01,0.27888925,3,22,0.630792746,247.665,3.6,560.355,48.734,158.565,55.477
"79",200635,2006,139.164556962025,2.40174815189873,34.1625620253165,1023850,1092600,"AL-397-MGM-20060327","AL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,79,0,79,56.59,1.4,19.74,134.98,0.022939487,6,52,0.688285697,259.863,29.797,529.233,42.229,132.287,22.404
"80",200636,2006,168.090909090909,2.44736931818182,39.3473181818182,1024200,1094040,"AL-397-MGM-20060327","AL","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",0,22,0,22,21.95,1,19.74,216.27,0.101500036,6,52,0.639922688,247.683,33.604,485.387,37.912,154.852,33.827
"81",200657,2006,831.652173913043,2.92514417391304,40.9061173913043,-1333260,1244390,"BIA-WERAZSCA-81-20060404","AZ","12.1  WESTERN SIERRA MADRE PIEDMONT","12  SOUTHERN SEMIARID HIGHLANDS",0,23,0,23,24.56,0.94,1229.74,75.11,-0.049337739,1,52,0.623300935,606.127,141.892,892.466,392.857,107.534,83.333
"82",200694,2006,314.368421052632,2.09835578947368,33.904,-133262,1262860,"BIA-EOROKCHA-1005-20060112","OK","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",1,18,1,19,22.43,0.85,909.14,110.67,-0.0323794,1,71,0.639464597,436.573,36.931,627.712,65.611,34.877,38.095
